"","site_code","year","block","plot","richness_vegan","shannon","inverse_simpson","evenness"
"2626","burren.ie",2018,3,21,11,1.17015099734741,2.03448275862069,0.487990868751258
"2627","burren.ie",2015,3,22,35,3.0703602150649,13.5782857142857,0.863589207572172
"2628","burren.ie",2016,3,22,34,2.85787158464286,10.4856905848196,0.810430914449376
"2629","burren.ie",2017,3,22,21,2.20995840472596,4.48640915593705,0.725880150312992
"2630","burren.ie",2018,3,22,17,1.84218111623744,3.65668148841563,0.650209106244027
"2631","burren.ie",2015,3,23,29,2.94227487817938,14.8275340393343,0.873779740995077
"2632","burren.ie",2016,3,23,25,2.65835782922421,9.65030005455537,0.825865293928529
"2633","burren.ie",2017,3,23,28,2.55685073805606,6.88629352137505,0.767315070323105
"2634","burren.ie",2018,3,23,20,2.37905459630237,7.94880057286072,0.794147934147658
"2635","burren.ie",2015,3,24,36,3.18995476270492,18.1836007130125,0.890173825641689
"2636","burren.ie",2016,3,24,38,3.00632894999222,12.8460421205519,0.826462609539495
"2637","burren.ie",2017,3,24,34,2.80741398608662,7.68058076225045,0.796122224738266
"2638","burren.ie",2018,3,24,26,2.15492064706914,3.82183472327521,0.661404787096254
"2639","burren.ie",2015,3,25,27,2.78870155020912,12.0138431114041,0.84612851411847
"2640","burren.ie",2016,3,25,28,3.01239554130105,16.4646996838778,0.904024807631827
"2641","burren.ie",2017,3,25,16,1.58951458198871,3.05655083099504,0.573296201213953
"2642","burren.ie",2018,3,25,7,0.470353538659445,1.21222199127001,0.241713903844835
"2643","burren.ie",2015,3,26,23,2.68838256912677,10.9009345794393,0.857403134558204
"2644","burren.ie",2016,3,26,34,3.03692576191758,14.1790065604499,0.861206828036433
"2645","burren.ie",2017,3,26,34,2.92522434725244,12.3549316054716,0.829530709305692
"2646","burren.ie",2018,3,26,27,2.51869065255449,7.30223123732251,0.764203677231148
"2647","burren.ie",2015,3,27,30,3.04869567906735,16.7355769230769,0.896359527825303
"2648","burren.ie",2016,3,27,31,2.80249674088095,11.1527950310559,0.81610576102922
"2649","burren.ie",2017,3,27,28,2.64485519969264,8.71428571428572,0.793725352575548
"2650","burren.ie",2018,3,27,21,2.15358273235147,5.44779796735448,0.707363068068513
"2651","burren.ie",2015,3,28,30,3.03022395216859,15.0865139949109,0.890928579595614
"2652","burren.ie",2016,3,28,33,2.95545374770859,12.3973866256726,0.84525878916419
"2653","burren.ie",2017,3,28,32,2.94007793165724,13.5182778229082,0.848327170365797
"2654","burren.ie",2018,3,28,31,2.7883178360525,11.6701244813278,0.811976769281686
"2655","burren.ie",2015,3,29,30,2.93246894275626,13.5668979187314,0.862187228111759
"2656","burren.ie",2016,3,29,27,2.67214801169144,8.71974522292994,0.810764646531484
"2657","burren.ie",2017,3,29,25,2.01283829082998,3.45068110946988,0.625323373855964
"2658","burren.ie",2018,3,29,17,2.0453755989407,5.49706457925636,0.721927843249674
"2659","burren.ie",2015,3,30,31,3.09612831466809,16.6666666666667,0.901613235665009
"2660","burren.ie",2016,3,30,30,2.44141597229196,5.87871720116618,0.717810729084723
"2661","burren.ie",2017,3,30,14,2.03200483117659,6.13380022115739,0.769973735838785
"2662","burren.ie",2018,3,30,9,1.40151952782407,3.06859688195991,0.637859025554496
