"","year","year_trt","trt","site_name","site_code","block","plot","subplot","mass","category","live"
"56178",2015,0,"NK","Slieve Carran","burren.ie",3,27,"B",72.3,"FORB","1"
"56179",2015,0,"NK","Slieve Carran","burren.ie",3,27,"B",108.4,"GRAMINOID","1"
"56180",2015,0,"NK","Slieve Carran","burren.ie",3,27,"B",3.65,"LEGUME","1"
"56181",2015,0,"NK","Slieve Carran","burren.ie",3,27,"B",88.55,"LITTER","0"
"56182",2015,0,"Control","Slieve Carran","burren.ie",3,28,"D",9.5,"BRYOPHYTE","1"
"56183",2015,0,"Control","Slieve Carran","burren.ie",3,28,"D",99.65,"FORB","1"
"56184",2015,0,"Control","Slieve Carran","burren.ie",3,28,"D",167.8,"GRAMINOID","1"
"56185",2015,0,"Control","Slieve Carran","burren.ie",3,28,"D",4.8,"LEGUME","1"
"56186",2015,0,"Control","Slieve Carran","burren.ie",3,28,"D",133.95,"LITTER","0"
"56187",2015,0,"PK","Slieve Carran","burren.ie",3,29,"D",0.7,"BRYOPHYTE","1"
"56188",2015,0,"PK","Slieve Carran","burren.ie",3,29,"D",142.15,"FORB","1"
"56189",2015,0,"PK","Slieve Carran","burren.ie",3,29,"D",154.65,"GRAMINOID","1"
"56190",2015,0,"PK","Slieve Carran","burren.ie",3,29,"D",16.65,"LEGUME","1"
"56191",2015,0,"PK","Slieve Carran","burren.ie",3,29,"D",218.8,"LITTER","0"
"56192",2015,0,"NPK+Fence","Slieve Carran","burren.ie",3,30,"A",7.7,"BRYOPHYTE","1"
"56193",2015,0,"NPK+Fence","Slieve Carran","burren.ie",3,30,"A",119.5,"FORB","1"
"56194",2015,0,"NPK+Fence","Slieve Carran","burren.ie",3,30,"A",112.75,"GRAMINOID","1"
"56195",2015,0,"NPK+Fence","Slieve Carran","burren.ie",3,30,"A",0.9,"LEGUME","1"
"56196",2015,0,"NPK+Fence","Slieve Carran","burren.ie",3,30,"A",129.25,"LITTER","0"
"56197",2016,1,"Control","Slieve Carran","burren.ie",1,1,"A",162.78,"FORB","1"
"56198",2016,1,"Control","Slieve Carran","burren.ie",1,1,"A",309.57,"GRAMINOID","1"
"56199",2016,1,"Control","Slieve Carran","burren.ie",1,1,"A",17.82,"LEGUME","1"
"56200",2016,1,"Control","Slieve Carran","burren.ie",1,1,"A",28.47,"LITTER","0"
"56201",2016,1,"PK","Slieve Carran","burren.ie",1,2,"B",136.93,"FORB","1"
"56202",2016,1,"PK","Slieve Carran","burren.ie",1,2,"B",357.4,"GRAMINOID","1"
"56203",2016,1,"PK","Slieve Carran","burren.ie",1,2,"B",50.17,"LEGUME","1"
"56204",2016,1,"PK","Slieve Carran","burren.ie",1,2,"B",43,"LITTER","0"
"56205",2016,1,"NK","Slieve Carran","burren.ie",1,3,"D",116.18,"FORB","1"
"56206",2016,1,"NK","Slieve Carran","burren.ie",1,3,"D",216.1,"GRAMINOID","1"
"56207",2016,1,"NK","Slieve Carran","burren.ie",1,3,"D",9.22,"LEGUME","1"
"56208",2016,1,"NK","Slieve Carran","burren.ie",1,3,"D",21.07,"LITTER","0"
"56209",2016,1,"NP","Slieve Carran","burren.ie",1,4,"D",125.93,"FORB","1"
"56210",2016,1,"NP","Slieve Carran","burren.ie",1,4,"D",380.02,"GRAMINOID","1"
"56211",2016,1,"NP","Slieve Carran","burren.ie",1,4,"D",82.27,"LEGUME","1"
"56212",2016,1,"NP","Slieve Carran","burren.ie",1,4,"D",24.82,"LITTER","0"
"56213",2016,1,"Fence","Slieve Carran","burren.ie",1,5,"A",1.35,"BRYOPHYTE","1"
"56214",2016,1,"Fence","Slieve Carran","burren.ie",1,5,"A",118.68,"FORB","1"
"56215",2016,1,"Fence","Slieve Carran","burren.ie",1,5,"A",432.07,"GRAMINOID","1"
"56216",2016,1,"Fence","Slieve Carran","burren.ie",1,5,"A",1.62,"LEGUME","1"
"56217",2016,1,"Fence","Slieve Carran","burren.ie",1,5,"A",31.97,"LITTER","0"
"56218",2016,1,"NPK+Fence","Slieve Carran","burren.ie",1,6,"B",128.65,"FORB","1"
